,year,month,day,hexagon,species,count,notes,gopro,spp_grp,SST,SSH,SAL,SAL_15,SSH_15,SST_15,F19,F20
1,2019,2,24,62,GULL,2,NA,NA,LARIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
2,2019,2,24,62,GULL,1,NA,NA,LARIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
3,2019,2,24,62,GULL,1,NA,NA,LARIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
4,2019,2,24,62,GULL,1,NA,NA,LARIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
5,2019,2,24,62,GULL,1,NA,NA,LARIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
6,2019,2,24,62,ROYT,1,NA,NA,LARIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
7,2019,2,24,62,NOGA,1,NA,NA,SULIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
8,2019,2,24,62,GULL,1,NA,NA,LARIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
9,2019,2,24,62,GULL,1,NA,NA,LARIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
10,2019,2,24,62,NOGA,1,NA,NA,SULIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
11,2019,2,24,62,GULL,1,NA,NA,LARIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
12,2019,2,24,62,GULL,1,NA,NA,LARIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
13,2019,2,24,62,GULL,1,NA,NA,LARIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
14,2019,2,24,62,GULL,1,NA,NA,LARIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
15,2019,2,24,62,GULL,1,NA,NA,LARIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
16,2019,2,24,62,GULL,1,NA,NA,LARIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
17,2019,2,24,62,GULL,1,NA,NA,LARIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
18,2019,2,24,62,BRPE,1,NA,NA,WADERS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
19,2019,2,24,62,GULL,13,NA,NA,LARIDS,19.52747366,-0.291427996,34.22634957,32.22524384,-0.07493563,17.01011122,1,0
